seed,omega,step,candidate,x,y,sigma,coverage_before,local_residual_mse_before,g,h,predicted_gain
7,0.3,440,27,0.6000,0.2000,0.0900,8.7885773e-1,2.4069714057105415e-3,5.934763e-3,2.3945385e-1,7.354529e-5
7,0.3,480,33,0.2000,0.6000,0.0900,8.7885773e-1,9.341234156314128e-4,-4.174695e-3,4.2238906e-1,2.0630361e-5
7,0.3,520,30,0.4000,0.4000,0.0900,8.1333554e-1,4.838953901776674e-4,-4.5968844e-3,4.495231e-1,2.3504183e-5
7,0.3,560,28,0.8000,0.2000,0.0900,9.4965845e-1,1.7150115758031107e-3,1.6432934e-3,1.0663842e-1,1.26615405e-5
7,0.3,600,29,0.2000,0.4000,0.0900,8.788578e-1,4.136621703556822e-4,-3.9241156e-3,9.085618e-1,8.474207e-6
7,0.3,640,31,0.6000,0.4000,0.0900,8.133355e-1,3.4820770473762916e-4,1.2953089e-3,3.2639694e-1,2.570222e-6
7,0.3,680,36,0.8000,0.6000,0.0900,8.788577e-1,2.0604007695078854e-4,-1.6670296e-3,5.5230725e-1,2.5157985e-6
7,0.3,720,14,0.4000,0.4000,0.1400,1e0,1.9487176334886938e-4,1.4642329e-3,4.8672384e-1,2.2024583e-6
7,0.3,760,35,0.6000,0.6000,0.0900,8.133354e-1,3.8412684413815384e-4,9.7206223e-4,1.2432651e-1,3.8000944e-6
7,0.3,800,39,0.6000,0.8000,0.0900,8.788577e-1,2.3201552100520254e-4,-7.9125905e-4,2.880357e-1,1.0868287e-6
7,0.3,840,40,0.8000,0.8000,0.0900,9.496584e-1,1.2588471354355995e-4,-9.4867556e-4,4.1429514e-1,1.0861645e-6
7,0.3,880,32,0.8000,0.4000,0.0900,8.7885773e-1,1.1552321703926896e-4,8.7637344e-4,5.475726e-1,7.0130466e-7
7,0.3,920,25,0.2000,0.2000,0.0900,9.4965845e-1,5.721194618658271e-5,-6.633078e-4,7.2700655e-1,3.0259508e-7
7,0.3,960,34,0.4000,0.6000,0.0900,8.133355e-1,3.7864084543300815e-5,6.734223e-4,5.829958e-1,3.8893728e-7
7,0.3,1000,23,0.6000,0.8000,0.1400,1e0,7.280781922480648e-5,3.784863e-4,3.744097e-1,1.9130363e-7
7,0.3,1040,19,0.6000,0.6000,0.1400,1e0,2.059280211799576e-4,-6.9447554e-4,1.4700795e0,1.6403747e-7
19,0.3,440,32,0.8000,0.4000,0.0900,8.7885773e-1,6.556052108788869e-4,5.4122247e-3,7.5828207e-1,1.9314828e-5
19,0.3,480,40,0.8000,0.8000,0.0900,9.496584e-1,1.0275899844853615e-3,-1.446246e-3,6.853498e-2,1.5259564e-5
19,0.3,520,38,0.4000,0.8000,0.0900,8.7885773e-1,7.68576832063153e-4,-1.8002033e-3,2.163251e-1,7.4904206e-6
19,0.3,560,39,0.6000,0.8000,0.0900,8.788577e-1,6.114883011872813e-4,2.6245394e-3,6.258432e-1,5.503141e-6
19,0.3,600,34,0.4000,0.6000,0.0900,8.133355e-1,4.936166541104687e-4,1.4459086e-3,5.337945e-1,1.9582924e-6
19,0.3,640,35,0.6000,0.6000,0.0900,8.133354e-1,3.426014852364169e-4,1.5687831e-3,6.5163857e-1,1.8883784e-6
19,0.3,680,29,0.2000,0.4000,0.0900,8.788578e-1,1.3984074142832674e-4,1.527902e-3,7.7725667e-1,1.5017462e-6
19,0.3,720,36,0.8000,0.6000,0.0900,8.788577e-1,1.7940797690971453e-4,9.0644916e-4,3.174256e-1,1.2942404e-6
