seed,omega,adaptive,k,late_births,requests,denied,train,heldout,rhs,basis,coefficient_updates,seconds_including_scoring
7,0.0,0,9,0,0,0,2.0739865792796469e-7,5.145352835420292e-7,1228800,50380800,10800,0.426
7,0.0,1,9,0,0,0,2.0739865792796469e-7,5.145352835420292e-7,1228800,50380800,10800,0.425
7,0.3,0,9,0,0,0,2.99213422242337e-2,5.090968642401833e-2,1228800,50380800,10800,0.428
7,0.3,1,25,6,20,4,1.118238004233299e-2,9.370644583118555e-2,1228800,50380800,18176,0.427
19,0.0,0,9,0,0,0,2.736250449486651e-7,5.235292157629635e-7,1228800,50380800,10800,0.442
19,0.0,1,9,0,0,0,2.736250449486651e-7,5.235292157629635e-7,1228800,50380800,10800,0.442
19,0.3,0,9,0,0,0,2.2705945752049785e-2,5.3515736159298596e-2,1228800,50380800,10800,0.442
19,0.3,1,25,6,20,4,7.660845377586236e-3,8.655444137978364e-2,1228800,50380800,18176,0.442
41,0.0,0,9,0,0,0,2.2612542797724532e-7,3.556823212587837e-7,1228800,50380800,10800,0.438
41,0.0,1,9,0,0,0,2.2612542797724532e-7,3.556823212587837e-7,1228800,50380800,10800,0.438
41,0.3,0,9,0,0,0,2.6688523580662152e-2,4.272095876003861e-2,1228800,50380800,10800,0.440
41,0.3,1,25,6,20,4,8.142020171252885e-3,8.901697195665181e-2,1228800,50380800,18176,0.440
