seed,omega,adaptive,step,k_before,k_after,train_pre,heldout_pre,born,requests,denied,best_gain,coefficient_l1_previous_window,rhs,basis,coefficient_updates_before
7,0.0,0,40,9,9,0.0049634,0.0100275,-1,0,0,1.8948111e-6,2.9109033252541394e-1,40960,1679360,351
7,0.0,0,80,9,9,0.0027655,0.0053569,-1,0,0,5.584299e-7,6.32263247949858e-2,81920,3358720,711
7,0.0,0,120,9,9,0.0013030,0.0025767,-1,0,0,1.4593157e-7,4.767620189522859e-2,122880,5038080,1071
7,0.0,0,160,9,9,0.0005013,0.0009845,-1,0,0,2.1299408e-8,2.61148329518619e-2,163840,6717440,1431
7,0.0,0,200,9,9,0.0001552,0.0003054,-1,0,0,2.048296e-9,1.127693237776839e-2,204800,8396800,1791
7,0.0,0,240,9,9,0.0000376,0.0000739,-1,0,0,1.2033158e-10,3.8275649267234257e-3,245760,10076160,2151
7,0.0,0,280,9,9,0.0000068,0.0000131,-1,0,0,3.9104726e-12,1.0061768954869876e-3,286720,11755520,2511
7,0.0,0,320,9,9,0.0000008,0.0000015,-1,0,0,4.842343e-14,1.9486173522409445e-4,327680,13434880,2871
7,0.0,0,360,9,9,0.0000002,0.0000005,-1,0,0,2.279946e-15,2.440140114767786e-5,368640,15114240,3231
7,0.0,0,400,9,9,0.0000002,0.0000005,-1,0,0,2.1734317e-15,1.7703939997938418e-6,409600,16793600,3591
7,0.0,0,440,9,9,0.0000002,0.0000005,-1,0,0,2.5586032e-15,5.380818844749093e-7,450560,18472960,3951
7,0.0,0,480,9,9,0.0000002,0.0000005,-1,0,0,2.2016502e-15,6.172673755705342e-7,491520,20152320,4311
7,0.0,0,520,9,9,0.0000002,0.0000005,-1,0,0,2.1137288e-15,4.706188669518531e-7,532480,21831680,4671
7,0.0,0,560,9,9,0.0000002,0.0000005,-1,0,0,2.1590728e-15,5.014680752922582e-7,573440,23511040,5031
7,0.0,0,600,9,9,0.0000002,0.0000005,-1,0,0,2.5895872e-15,7.89761206928391e-7,614400,25190400,5391
7,0.0,0,640,9,9,0.0000002,0.0000005,-1,0,0,2.0875853e-15,6.587095464894409e-7,655360,26869760,5751
7,0.0,0,680,9,9,0.0000002,0.0000005,-1,0,0,2.1343869e-15,6.907426370930106e-7,696320,28549120,6111
7,0.0,0,720,9,9,0.0000002,0.0000005,-1,0,0,2.2016392e-15,6.661552374369155e-7,737280,30228480,6471
7,0.0,0,760,9,9,0.0000002,0.0000005,-1,0,0,2.1635066e-15,6.719231935859707e-7,778240,31907840,6831
7,0.0,0,800,9,9,0.0000002,0.0000005,-1,0,0,2.1607535e-15,7.989344184763936e-7,819200,33587200,7191
7,0.0,0,840,9,9,0.0000002,0.0000005,-1,0,0,2.0973262e-15,8.90047043336159e-7,860160,35266560,7551
7,0.0,0,880,9,9,0.0000002,0.0000005,-1,0,0,2.038698e-15,1.0227399135842238e-6,901120,36945920,7911
7,0.0,0,920,9,9,0.0000002,0.0000005,-1,0,0,2.0301165e-15,1.241917387134056e-6,942080,38625280,8271
7,0.0,0,960,9,9,0.0000002,0.0000005,-1,0,0,2.039323e-15,8.58609344808563e-7,983040,40304640,8631
7,0.0,0,1000,9,9,0.0000002,0.0000005,-1,0,0,2.1715208e-15,1.0037194376512348e-6,1024000,41984000,8991
7,0.0,0,1040,9,9,0.0000002,0.0000005,-1,0,0,2.1424811e-15,1.099648964375359e-6,1064960,43663360,9351
7,0.0,0,1080,9,9,0.0000002,0.0000005,-1,0,0,2.5792378e-15,1.160309653480858e-6,1105920,45342720,9711
