seed,rich,fresh,omega,adaptive,k,requests,denied,repeated_cross_window,incoming_sse,train,eval,rhs,basis,coefficient_updates,seconds_including_scoring
7,0,0,0.0,0,9,0,0,0,3.7744611602885674e-10,1.5706172758246095e-4,1.982564815796869e-4,3686400,151142400,32400,1.292
7,0,0,0.0,1,18,9,0,0,1.7858150951760578e-6,2.09149447456367e-3,2.4877314587282325e-3,3686400,151142400,42209,1.292
7,0,0,0.3,0,9,0,0,0,8.998756077475688e-4,2.1211762539786353e-2,4.408122794973826e-2,3686400,151142400,32400,1.302
7,0,0,0.3,1,25,78,62,43,3.641842446048399e-5,4.096657297388545e-3,6.772427051504604e-2,3686400,151142400,78176,1.297
7,0,1,0.0,0,9,0,0,0,2.5939956432852185e-10,1.0655855429379898e-5,1.3276043774904116e-5,3686400,151142400,32400,1.287
7,0,1,0.0,1,18,9,0,0,1.5881674630957576e-7,1.3927928324937002e-6,8.267587335077592e-6,3686400,151142400,41649,1.288
7,0,1,0.3,0,9,0,0,0,1.640261181543437e-3,2.2256874225473164e-2,5.017960652936338e-2,3686400,151142400,32400,1.289
7,0,1,0.3,1,25,80,64,25,9.09339994820331e-3,1.5015331496198336e-2,9.955947009265055e-2,3686400,151142400,78176,1.291
7,1,0,0.0,0,9,0,0,0,1.5338718441254423e-3,2.7693596886725878e-2,4.4541879836947164e-2,3686400,151142400,32400,1.294
7,1,0,0.0,1,24,15,0,0,1.974909819013604e-11,1.5633087416320274e-5,1.1934873944836942e-4,3686400,151142400,58495,1.298
7,1,0,0.3,0,9,0,0,0,3.0621503726873875e-3,3.912896661808716e-2,6.329386142252756e-2,3686400,151142400,32400,1.302
7,1,0,0.3,1,25,40,24,10,6.507519088047586e-5,5.647515400720224e-3,6.62658780637505e-2,3686400,151142400,78176,1.299
7,1,1,0.0,0,9,0,0,0,1.6430286636259228e-3,2.2840385228740802e-2,4.302799868269556e-2,3686400,151142400,32400,1.286
7,1,1,0.0,1,25,17,1,0,2.437640020391818e-10,9.60009116901796e-6,1.1193880549501213e-4,3686400,151142400,58016,1.291
7,1,1,0.3,0,9,0,0,0,3.132295602806715e-3,3.064791284098054e-2,7.810896092067345e-2,3686400,151142400,32400,1.291
7,1,1,0.3,1,25,78,62,35,1.5799277236182373e-2,1.4567121418736883e-2,1.1174703604789953e-1,3686400,151142400,78176,1.290
19,0,0,0.0,0,9,0,0,0,7.236235546950742e-7,4.4044197392680875e-5,5.8129190838524107e-5,3686400,151142400,32400,1.270
19,0,0,0.0,1,25,16,0,0,1.4374612611334214e-13,3.3912696894336263e-6,3.5371232908985844e-5,3686400,151142400,47216,1.270
