seed,rich,fresh,omega,adaptive,window,step,k,train_pre,eval_pre,score,requests,denied,repeated_cross_window,coefficient_l1_previous_period,rhs,basis,coefficient_updates_before
7,0,0,0.0,0,0,120,9,1.448309259613215e-3,2.4927181015246725e-3,1.7763158e-7,0,0,0,3.9449546175387695e-1,122880,5038080,1071
7,0,0,0.0,0,0,240,9,1.0067198231540499e-4,1.7454099680586422e-4,8.5647894e-10,0,0,0,5.2503488582260616e-2,245760,10076160,2151
7,0,0,0.0,0,0,360,9,1.6354682050779315e-6,2.6712870699514384e-6,1.8756874e-13,0,0,0,3.8794106442026077e-3,368640,15114240,3231
7,0,0,0.0,0,0,480,9,2.1328710329979116e-7,4.694087514294701e-7,2.8325923e-15,0,0,0,6.602586971480879e-5,491520,20152320,4311
7,0,0,0.0,0,0,600,9,2.236880952153579e-7,4.801904974838519e-7,2.2855333e-15,0,0,0,7.79132331869283e-6,614400,25190400,5391
7,0,0,0.0,0,0,720,9,2.1405026617012048e-7,4.794891460347253e-7,2.5662631e-15,0,0,0,1.5780726956132404e-5,737280,30228480,6471
7,0,0,0.0,0,0,840,9,2.1364466784804564e-7,4.7584295353125565e-7,2.5980186e-15,0,0,0,1.1209888402316862e-5,860160,35266560,7551
7,0,0,0.0,0,0,960,9,2.5026077674431255e-7,4.467864141036555e-7,6.565899e-15,0,0,0,2.7804189322243843e-5,983040,40304640,8631
7,0,0,0.0,0,0,1080,9,2.6713214877244174e-7,4.409318181914032e-7,8.6179334e-15,0,0,0,5.009759481646066e-5,1105920,45342720,9711
7,0,0,0.0,0,0,1200,9,2.027247736942048e-6,2.407529201445288e-6,1.1232479e-12,0,0,0,2.3188132540643662e-2,1228800,50380800,10791
7,0,0,0.0,0,1,1320,9,3.710826720867453e-7,4.98430755914591e-7,2.2217725e-14,0,0,0,1.6930561820514035e-3,1351680,55418880,11871
7,0,0,0.0,0,1,1440,9,1.57349696069498e-5,2.0200835253378092e-5,6.844156e-11,0,0,0,2.7870161441702054e-2,1474560,60456960,12951
7,0,0,0.0,0,1,1560,9,2.5468564979936496e-7,4.2168657155342117e-7,7.576706e-15,0,0,0,9.32279131613329e-4,1597440,65495040,14031
7,0,0,0.0,0,1,1680,9,9.667012401967154e-6,1.2418686709165713e-5,2.5425606e-11,0,0,0,3.1159315012931735e-2,1720320,70533120,15111
7,0,0,0.0,0,1,1800,9,2.9799993990302197e-7,4.415254859952273e-7,1.238921e-14,0,0,0,8.327088125717544e-4,1843200,75571200,16191
7,0,0,0.0,0,1,1920,9,6.709656335267766e-6,8.305046800833592e-6,1.1825157e-11,0,0,0,3.342082076938557e-2,1966080,80609280,17271
7,0,0,0.0,0,1,2040,9,3.951730062202057e-4,4.983267775441286e-4,4.0532306e-8,0,0,0,1.6219422557155416e-2,2088960,85647360,18351
7,0,0,0.0,0,1,2160,9,6.296622268180387e-7,9.577438080401295e-7,9.4676505e-14,0,0,0,2.1779846133291952e-2,2211840,90685440,19431
7,0,0,0.0,0,1,2280,9,3.3726255241602785e-5,4.23689811658233e-5,2.7731556e-10,0,0,0,4.219532715982688e-2,2334720,95723520,20511
7,0,0,0.0,0,1,2400,9,9.33558789377858e-7,1.3611934970275063e-6,2.3380188e-13,0,0,0,2.093881020699115e-3,2457600,100761600,21591
7,0,0,0.0,0,2,2520,9,3.882055471834126e-6,4.748543755095177e-6,3.1053797e-12,0,0,0,5.975641830732609e-2,2580480,105799680,22671
7,0,0,0.0,0,2,2640,9,1.1674164692912786e-5,1.462371354376795e-5,2.92513e-11,0,0,0,9.746150789880226e-4,2703360,110837760,23751
7,0,0,0.0,0,2,2760,9,4.919906289740709e-6,6.431180453535097e-6,4.8601917e-12,0,0,0,6.66455569654607e-2,2826240,115875840,24831
7,0,0,0.0,0,2,2880,9,7.387927823965456e-5,9.44773087882877e-5,8.8506447e-10,0,0,0,7.08034572705909e-2,2949120,120913920,25911
7,0,0,0.0,0,2,3000,9,2.53237551441153e-7,4.210731730146644e-7,6.565908e-15,0,0,0,1.211229836606842e-2,3072000,125952000,26991
7,0,0,0.0,0,2,3120,9,2.3401191534492183e-5,2.9610884949143397e-5,1.02167844e-10,0,0,0,1.0148663703237243e-1,3194880,130990080,28071
7,0,0,0.0,0,2,3240,9,3.2301725593697465e-7,6.418643833790654e-7,1.7517036e-14,0,0,0,1.1714647345290263e-2,3317760,136028160,29151
7,0,0,0.0,0,2,3360,9,3.0521246806111075e-7,6.230652431663138e-7,9.864878e-15,0,0,0,1.255717741175874e-4,3440640,141066240,30231
7,0,0,0.0,0,2,3480,9,1.960713307957196e-5,2.4549932781487665e-5,6.510091e-11,0,0,0,9.440741920232609e-2,3563520,146104320,31311
7,0,0,0.0,0,2,3600,9,1.2563446893920578e-4,1.5886217713117787e-4,2.5220708e-9,0,0,0,5.0876489477375e-3,3686400,151142400,32391
7,0,0,0.0,1,0,120,9,1.448309259613215e-3,2.4927181015246725e-3,1.7763158e-7,0,0,0,3.9449546175387695e-1,122880,5038080,1071
7,0,0,0.0,1,0,240,9,1.0067198231540499e-4,1.7454099680586422e-4,8.5647894e-10,0,0,0,5.2503488582260616e-2,245760,10076160,2151
7,0,0,0.0,1,0,360,9,1.6354682050779315e-6,2.6712870699514384e-6,1.8756874e-13,0,0,0,3.8794106442026077e-3,368640,15114240,3231
7,0,0,0.0,1,0,480,9,2.1328710329979116e-7,4.694087514294701e-7,2.8325923e-15,0,0,0,6.602586971480879e-5,491520,20152320,4311
7,0,0,0.0,1,0,600,9,2.236880952153579e-7,4.801904974838519e-7,2.2855333e-15,0,0,0,7.79132331869283e-6,614400,25190400,5391
7,0,0,0.0,1,0,720,9,2.1405026617012048e-7,4.794891460347253e-7,2.5662631e-15,0,0,0,1.5780726956132404e-5,737280,30228480,6471
7,0,0,0.0,1,0,840,9,2.1364466784804564e-7,4.7584295353125565e-7,2.5980186e-15,0,0,0,1.1209888402316862e-5,860160,35266560,7551
7,0,0,0.0,1,0,960,9,2.5026077674431255e-7,4.467864141036555e-7,6.565899e-15,0,0,0,2.7804189322243843e-5,983040,40304640,8631
7,0,0,0.0,1,0,1080,9,2.6713214877244174e-7,4.409318181914032e-7,8.6179334e-15,0,0,0,5.009759481646066e-5,1105920,45342720,9711
7,0,0,0.0,1,0,1200,11,4.3919512940663143e-4,5.743248377602919e-4,3.5773645e-8,2,0,0,1.501533825818938e-1,1228800,50380800,10831
7,0,0,0.0,1,1,1320,11,2.7240725214345445e-6,4.428783055927473e-6,1.1428214e-12,2,0,0,6.4801334923005e-2,1351680,55418880,12151
7,0,0,0.0,1,1,1440,11,1.9953789920869587e-7,4.606498827476101e-7,2.009086e-15,2,0,0,1.6315474502414523e-4,1474560,60456960,13471
7,0,0,0.0,1,1,1560,11,1.936255245643269e-7,4.3171598332578347e-7,1.8491674e-15,2,0,0,1.8970720623983327e-5,1597440,65495040,14791
7,0,0,0.0,1,1,1680,11,2.0303686533019772e-7,4.898792153854167e-7,3.0443999e-15,2,0,0,2.2961496247107804e-5,1720320,70533120,16111
7,0,0,0.0,1,1,1800,11,1.9756335239481578e-7,4.332722419868438e-7,1.5727221e-15,2,0,0,2.413177530009294e-5,1843200,75571200,17431
7,0,0,0.0,1,1,1920,11,1.9145074734131542e-6,2.604797859697333e-6,6.6601455e-13,2,0,0,9.29592721765995e-5,1966080,80609280,18751
7,0,0,0.0,1,1,2040,11,5.145626588851219e-6,7.167993637502125e-6,4.5734146e-12,2,0,0,5.66530274484891e-2,2088960,85647360,20071
7,0,0,0.0,1,1,2160,11,7.291894401884685e-6,1.0554355239705573e-5,9.37459e-12,2,0,0,5.8721344834118346e-2,2211840,90685440,21391
7,0,0,0.0,1,1,2280,11,3.224299033160414e-5,4.3298213240297894e-5,1.761114e-10,2,0,0,1.0840565879072561e-2,2334720,95723520,22711
7,0,0,0.0,1,1,2400,13,7.435657337782748e-5,1.2487939629583252e-4,1.1446293e-9,4,0,0,2.721978753412131e-1,2457600,100761600,24151
7,0,0,0.0,1,2,2520,13,4.244869808329378e-7,2.4427140668699807e-6,1.9922322e-14,4,0,0,9.026052550534805e-3,2580480,105799680,25711
7,0,0,0.0,1,2,2640,13,1.6601592268911893e-7,9.68356950344303e-7,1.791376e-15,4,0,0,7.481395009832983e-5,2703360,110837760,27271
7,0,0,0.0,1,2,2760,14,9.151272605018185e-4,1.3277044396641413e-3,7.076421e-8,5,0,0,4.3786591251304234e-2,2826240,115875840,28831
7,0,0,0.0,1,2,2880,16,1.3966191444048304e-4,2.262386092373098e-4,4.5986006e-9,7,0,0,6.078998734863035e-1,2949120,120913920,30631
7,0,0,0.0,1,2,3000,16,4.84095059977881e-6,1.7198208050189727e-5,2.3042321e-12,7,0,0,1.766879214074893e-2,3072000,125952000,32551
7,0,0,0.0,1,2,3120,16,1.2133356857146225e-6,6.636822660050029e-6,1.597156e-13,7,0,0,4.768603015669892e-4,3194880,130990080,34471
7,0,0,0.0,1,2,3240,16,7.312631938670307e-7,5.120281419778689e-6,3.3981427e-14,7,0,0,1.2298111585018132e-4,3317760,136028160,36391
7,0,0,0.0,1,2,3360,16,6.101520595166672e-7,4.144399688460529e-6,1.7234339e-14,7,0,0,9.52202710738214e-5,3440640,141066240,38311
7,0,0,0.0,1,2,3480,16,5.326774347750939e-7,3.400578456421304e-6,1.288334e-14,7,0,0,1.0831115504925104e-4,3563520,146104320,40231
7,0,0,0.0,1,2,3600,18,2.3076614632552465e-4,2.2033246833833993e-4,1.0400172e-8,9,0,0,3.412303162687845e-1,3686400,151142400,42191
7,0,0,0.3,0,0,120,9,2.1407607632565166e-2,4.231005624061353e-2,3.7917045e-5,0,0,0,4.835336427817083e-1,122880,5038080,1071
7,0,0,0.3,0,0,240,9,2.121380807730626e-2,4.386961111150027e-2,4.3196054e-5,0,0,0,9.503278359625256e-2,245760,10076160,2151
7,0,0,0.3,0,0,360,9,2.1211746972957805e-2,4.4069458479254545e-2,4.3786567e-5,0,0,0,1.0457176933300616e-2,368640,15114240,3231
7,0,0,0.3,0,0,480,9,2.121173683339763e-2,4.407659836308737e-2,4.3807646e-5,0,0,0,3.6968752430861784e-4,491520,20152320,4311
7,0,0,0.3,0,0,600,9,2.121173181298286e-2,4.407667031702781e-2,4.3807853e-5,0,0,0,5.3261334901633095e-6,614400,25190400,5391
7,0,0,0.3,0,0,720,9,2.1211741817047585e-2,4.407667573147802e-2,4.3807853e-5,0,0,0,3.9255007694508634e-6,737280,30228480,6471
7,0,0,0.3,0,0,840,9,2.1211739085610106e-2,4.407666862094312e-2,4.3807853e-5,0,0,0,4.933529065850878e-6,860160,35266560,7551
7,0,0,0.3,0,0,960,9,2.121173861316807e-2,4.407667266081168e-2,4.3807824e-5,0,0,0,4.788418847015484e-6,983040,40304640,8631
7,0,0,0.3,0,0,1080,9,2.1211737169546264e-2,4.407667028599965e-2,4.380785e-5,0,0,0,5.251079064684874e-6,1105920,45342720,9711
7,0,0,0.3,0,0,1200,9,2.121173569870754e-2,4.407667299938816e-2,4.3807846e-5,0,0,0,6.509927756288706e-6,1228800,50380800,10791
7,0,0,0.3,0,1,1320,9,2.1211738185905937e-2,4.407667591523467e-2,4.3807853e-5,0,0,0,7.916902381311557e-6,1351680,55418880,11871
7,0,0,0.3,0,1,1440,9,2.1211734988892884e-2,4.4076674329333994e-2,4.3807853e-5,0,0,0,8.465061695606992e-6,1474560,60456960,12951
7,0,0,0.3,0,1,1560,9,2.1211739485362303e-2,4.407666399231541e-2,4.3807868e-5,0,0,0,8.993155278331534e-6,1597440,65495040,14031
7,0,0,0.3,0,1,1680,9,2.121173819055373e-2,4.407667226225847e-2,4.3807853e-5,0,0,0,1.3615556977555898e-5,1720320,70533120,15111
7,0,0,0.3,0,1,1800,9,2.1211735988378236e-2,4.407666614635347e-2,4.3807806e-5,0,0,0,1.402412280354301e-5,1843200,75571200,16191
7,0,0,0.3,0,1,1920,9,2.1211742907729862e-2,4.407667101457998e-2,4.3807922e-5,0,0,0,1.4704805087391e-5,1966080,80609280,17271
7,0,0,0.3,0,1,2040,9,2.1211741646879705e-2,4.407667077138467e-2,4.3807824e-5,0,0,0,1.92638843830098e-5,2088960,85647360,18351
7,0,0,0.3,0,1,2160,9,2.1211742065097412e-2,4.407668390092962e-2,4.380779e-5,0,0,0,2.0942917832729446e-5,2211840,90685440,19431
7,0,0,0.3,0,1,2280,9,2.1211745667932918e-2,4.4076674137126765e-2,4.3807853e-5,0,0,0,2.744148832261456e-5,2334720,95723520,20511
7,0,0,0.3,0,1,2400,9,2.1211755663616712e-2,4.4076688898095726e-2,4.3807788e-5,0,0,0,3.6536452757141014e-5,2457600,100761600,21591
7,0,0,0.3,0,2,2520,9,2.1211745838205447e-2,4.407666321684221e-2,4.3808e-5,0,0,0,4.1029946664817435e-5,2580480,105799680,22671
7,0,0,0.3,0,2,2640,9,2.1211739299031803e-2,4.407668697681827e-2,4.3807813e-5,0,0,0,6.683490391472952e-5,2703360,110837760,23751
7,0,0,0.3,0,2,2760,9,2.121175379151996e-2,4.407667484301555e-2,4.3807788e-5,0,0,0,6.318725635258773e-5,2826240,115875840,24831
7,0,0,0.3,0,2,2880,9,2.1211750657715044e-2,4.40766476965031e-2,4.38087e-5,0,0,0,7.655397025271501e-5,2949120,120913920,25911
7,0,0,0.3,0,2,3000,9,2.121173111208682e-2,4.4076583869962084e-2,4.380641e-5,0,0,0,6.629032966075954e-2,3072000,125952000,26991
7,0,0,0.3,0,2,3120,9,2.1211749076481722e-2,4.4076688902624686e-2,4.3807788e-5,0,0,0,4.3048788434926766e-4,3194880,130990080,28071
7,0,0,0.3,0,2,3240,9,2.121299058506623e-2,4.409935355998379e-2,4.3963104e-5,0,0,0,6.009958338180879e-2,3317760,136028160,29151
7,0,0,0.3,0,2,3360,9,2.1211736220077104e-2,4.4076562881247186e-2,4.380798e-5,0,0,0,2.3235418342329783e-2,3440640,141066240,30231
7,0,0,0.3,0,2,3480,9,2.121337877607378e-2,4.4121056384931814e-2,4.389147e-5,0,0,0,7.568979036406348e-2,3563520,146104320,31311
7,0,0,0.3,0,2,3600,9,2.1211768679562662e-2,4.407311943979609e-2,4.384947e-5,0,0,0,1.73669004124124e-2,3686400,151142400,32391
7,0,0,0.3,1,0,120,9,2.1407607632565166e-2,4.231005624061353e-2,3.7917045e-5,0,0,0,4.835336427817083e-1,122880,5038080,1071
7,0,0,0.3,1,0,240,9,2.121380807730626e-2,4.386961111150027e-2,4.3196054e-5,0,0,0,9.503278359625256e-2,245760,10076160,2151
7,0,0,0.3,1,0,360,9,2.1211746972957805e-2,4.4069458479254545e-2,4.3786567e-5,0,0,0,1.0457176933300616e-2,368640,15114240,3231
7,0,0,0.3,1,0,480,11,1.6717084371808653e-2,4.5012943268818516e-2,1.7735167e-5,2,0,0,2.558371961247623e-1,491520,20152320,4351
7,0,0,0.3,1,0,600,14,1.1334244672354986e-2,5.166874503936286e-2,2.1780281e-6,5,0,0,4.823271440328085e-1,614400,25190400,5791
7,0,0,0.3,1,0,720,17,9.449537284049769e-3,5.512733724814786e-2,5.093104e-7,8,0,0,3.5452185280787774e-1,737280,30228480,7591
7,0,0,0.3,1,0,840,20,7.732736069002745e-3,6.168968203292244e-2,3.6068903e-7,11,0,0,4.273910984053231e-1,860160,35266560,9751
7,0,0,0.3,1,0,960,23,5.982417905329465e-3,7.084993103579465e-2,5.531869e-8,14,0,0,5.068417591353906e-1,983040,40304640,12271
7,0,0,0.3,1,0,1080,25,4.3230146787368645e-3,6.691153147906558e-2,1.3379651e-8,17,1,0,5.484641603439568e-1,1105920,45342720,15151
7,0,0,0.3,1,0,1200,25,4.291398184746718e-3,6.679466536634521e-2,1.4569336e-7,20,4,0,2.5148074150260946e-1,1228800,50380800,18151
7,0,0,0.3,1,1,1320,25,4.214098055091903e-3,6.65832710789691e-2,1.632222e-8,23,7,3,2.5295127176616417e-1,1351680,55418880,21151
7,0,0,0.3,1,1,1440,25,4.189396387296345e-3,6.67303268011054e-2,4.028598e-8,26,10,4,2.8060538587797623e-1,1474560,60456960,24151
7,0,0,0.3,1,1,1560,25,4.225578528318931e-3,6.675683091607028e-2,2.4101843e-7,29,13,6,2.895722227595283e-1,1597440,65495040,27151
7,0,0,0.3,1,1,1680,25,4.168038858610369e-3,6.66855002720195e-2,1.2023452e-7,32,16,8,3.366592516717901e-1,1720320,70533120,30151
7,0,0,0.3,1,1,1800,25,4.152327343184191e-3,6.677188303384037e-2,1.1906916e-7,35,19,8,3.5671283516322205e-1,1843200,75571200,33151
7,0,0,0.3,1,1,1920,25,4.1917659333913495e-3,6.664970815071607e-2,2.6610354e-7,38,22,10,3.516980999774262e-1,1966080,80609280,36151
7,0,0,0.3,1,1,2040,25,4.225357843011667e-3,6.674004055516507e-2,3.773679e-7,40,24,11,3.7857771332933865e-1,2088960,85647360,39151
