seed,rich,fresh,omega,window,step,candidate,accepted,prior_candidate_requests,prior_site_requests,repeated_earlier_window,k_before,x,y,sigma,coverage,local_residual_mse,g,h,score
7,0,0,0.0,0,1160,10,1,0,0,0,9,4e-1,2e-1,1.4e-1,8.788578e-1,4.674288226046908e-8,-8.670318e-5,3.8568828e-1,9.745488e-9
7,0,0,0.0,0,1200,9,1,0,0,0,10,2e-1,2e-1,1.4e-1,9.4965845e-1,2.3395623282866896e-7,1.17889416e-4,1.9424796e-1,3.5773645e-8
7,0,0,0.0,1,2320,26,1,0,1,0,11,4e-1,2e-1,9e-2,1e0,5.564713067260901e-8,2.9624005e-5,7.08077e-2,6.1969363e-9
7,0,0,0.0,1,2360,25,1,0,1,0,12,2e-1,2e-1,9e-2,1e0,1.4082176355225598e-7,2.8690554e-5,5.112466e-2,8.0503995e-9
7,0,0,0.0,2,2760,17,1,0,0,0,13,2e-1,6e-1,1.4e-1,8.7885773e-1,9.025247105476479e-7,2.7974977e-4,5.529627e-1,7.076421e-8
7,0,0,0.0,2,2800,18,1,0,0,0,14,4e-1,6e-1,1.4e-1,8.133355e-1,3.2677593561027537e-7,-3.1022215e-4,8.9280957e-1,5.389603e-8
7,0,0,0.0,2,2840,12,1,0,0,0,15,8e-1,2e-1,1.4e-1,9.4965845e-1,5.7881910563583906e-8,9.170435e-5,4.2456314e-1,9.903931e-9
7,0,0,0.0,2,3560,28,1,0,1,0,16,8e-1,2e-1,9e-2,1e0,4.2464490403016334e-7,-1.4242118e-4,2.5802833e-1,3.930536e-8
7,0,0,0.0,2,3600,16,1,0,0,0,17,8e-1,4e-1,1.4e-1,8.7885773e-1,1.013135833318801e-7,-1.02815684e-4,5.0821584e-1,1.0400172e-8
7,0,0,0.3,0,440,40,1,0,0,0,9,8e-1,8e-1,9e-2,9.496584e-1,1.7097703749301258e-3,5.143053e-3,3.0190545e-1,4.3806747e-5
7,0,0,0.3,0,480,30,1,0,0,0,10,4e-1,4e-1,9e-2,8.1333554e-1,2.4062316851211616e-4,-6.4284e-3,1.1650392e0,1.7735167e-5
7,0,0,0.3,0,520,39,1,0,0,0,11,6e-1,8e-1,9e-2,8.788577e-1,5.695962119859655e-4,-3.1133546e-3,4.0604472e-1,1.1935848e-5
7,0,0,0.3,0,560,32,1,0,0,0,12,8e-1,4e-1,9e-2,8.7885773e-1,1.417433357339161e-4,2.523294e-3,6.5733486e-1,4.8430506e-6
7,0,0,0.3,0,600,31,1,0,0,0,13,6e-1,4e-1,9e-2,8.133355e-1,9.437903740724413e-5,2.294517e-3,1.2086179e0,2.1780281e-6
7,0,0,0.3,0,640,38,1,0,0,0,14,4e-1,8e-1,9e-2,8.7885773e-1,4.936131133610961e-4,-1.0932316e-3,2.4931014e-1,2.396925e-6
7,0,0,0.3,0,680,25,1,0,0,0,15,2e-1,2e-1,9e-2,9.4965845e-1,1.7577952882421428e-4,-4.3099062e-4,6.68608e-2,1.3891017e-6
7,0,0,0.3,0,720,34,1,0,0,0,16,4e-1,6e-1,9e-2,8.133355e-1,1.871202187170277e-4,-1.097136e-3,1.1817031e0,5.093104e-7
7,0,0,0.3,0,760,33,1,0,0,0,17,2e-1,6e-1,9e-2,8.7885773e-1,5.5592233750286683e-5,-1.0246077e-3,7.1899444e-1,7.3006186e-7
7,0,0,0.3,0,800,26,1,0,0,0,18,4e-1,2e-1,9e-2,8.788578e-1,9.98792337339307e-5,2.936636e-4,5.00946e-2,8.607545e-7
7,0,0,0.3,0,840,28,1,0,0,0,19,8e-1,2e-1,9e-2,9.4965845e-1,4.090198216757232e-5,-4.266799e-4,2.5237218e-1,3.6068903e-7
7,0,0,0.3,0,880,19,1,0,0,0,20,6e-1,6e-1,1.4e-1,8.133354e-1,4.4910752853145116e-5,-3.804968e-4,7.840697e-1,9.232457e-8
7,0,0,0.3,0,920,22,1,0,1,0,21,4e-1,8e-1,1.4e-1,1e0,3.065931799001168e-5,2.4526083e-4,2.9331538e-1,1.0253959e-7
7,0,0,0.3,0,960,15,1,0,1,0,22,6e-1,4e-1,1.4e-1,1e0,3.8922257894709776e-5,3.312333e-4,9.916676e-1,5.531869e-8
7,0,0,0.3,0,1000,27,1,0,0,0,23,6e-1,2e-1,9e-2,8.7885773e-1,1.3729432950848993e-5,-4.4725498e-4,7.1911865e-1,1.3908485e-7
7,0,0,0.3,0,1040,21,1,0,0,0,24,2e-1,8e-1,1.4e-1,9.4965845e-1,1.3504665943393821e-5,-6.589582e-5,1.5379599e-1,1.4116947e-8
7,0,0,0.3,0,1080,11,0,0,1,0,25,6e-1,2e-1,1.4e-1,1e0,7.979370115051543e-6,9.9428595e-5,3.6944333e-1,1.3379651e-8
7,0,0,0.3,0,1120,35,0,0,1,0,25,6e-1,6e-1,9e-2,1e0,3.7192116995912686e-5,-7.502055e-4,2.8467536e0,9.88509e-8
7,0,0,0.3,0,1160,18,0,0,1,0,25,4e-1,6e-1,1.4e-1,1e0,1.6796933874314766e-5,8.75955e-4,1.4537183e0,2.6390848e-7
7,0,0,0.3,0,1200,18,0,1,2,0,25,4e-1,6e-1,1.4e-1,1e0,1.6426602210995563e-5,6.5003044e-4,1.450099e0,1.4569336e-7
7,0,0,0.3,1,1240,18,0,2,3,1,25,4e-1,6e-1,1.4e-1,1e0,1.6064602001998955e-5,3.7154788e-4,1.453783e0,4.7478824e-8
7,0,0,0.3,1,1280,35,0,1,2,1,25,6e-1,6e-1,9e-2,1e0,4.3268274385496535e-5,-1.568738e-3,2.8386095e0,4.3347615e-7
7,0,0,0.3,1,1320,35,0,2,3,1,25,6e-1,6e-1,9e-2,1e0,3.645971607398665e-5,-3.245904e-4,3.2274692e0,1.632222e-8
7,0,0,0.3,1,1360,23,0,0,1,0,25,6e-1,8e-1,1.4e-1,1e0,4.401210319434173e-5,5.5584016e-5,1.298631e-1,1.1895538e-8
7,0,0,0.3,1,1400,35,0,3,4,1,25,6e-1,6e-1,9e-2,1e0,3.666614352181131e-5,-3.4092958e-4,3.298407e0,1.7619563e-8
7,0,0,0.3,1,1440,36,0,0,0,0,25,8e-1,6e-1,9e-2,8.788577e-1,2.9159077590709346e-5,-2.615895e-4,8.492914e-1,4.028598e-8
7,0,0,0.3,1,1480,35,0,4,5,1,25,6e-1,6e-1,9e-2,1e0,3.6685135192307854e-5,-2.8611693e-4,3.3705904e0,1.2143703e-8
7,0,0,0.3,1,1520,18,0,3,4,1,25,4e-1,6e-1,1.4e-1,1e0,1.5367024331188018e-5,6.727955e-4,1.5103326e0,1.4985235e-7
7,0,0,0.3,1,1560,36,0,1,1,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.131649371851021e-5,-6.541664e-4,8.8776124e-1,2.4101843e-7
7,0,0,0.3,1,1600,35,0,5,6,1,25,6e-1,6e-1,9e-2,1e0,3.981805131468899e-5,-1.0416169e-3,3.2711484e0,1.6583867e-7
7,0,0,0.3,1,1640,18,0,4,5,1,25,4e-1,6e-1,1.4e-1,1e0,1.494915533987724e-5,3.6839704e-4,1.5115505e0,4.48931e-8
7,0,0,0.3,1,1680,36,0,2,2,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.047523795354316e-5,-4.612933e-4,8.849019e-1,1.2023452e-7
7,0,0,0.3,1,1720,36,0,3,3,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.381936899905799e-5,-9.530345e-4,9.130863e-1,4.973652e-7
7,0,0,0.3,1,1760,36,0,4,4,0,25,8e-1,6e-1,9e-2,8.788577e-1,2.974075042864079e-5,-1.8788951e-4,8.7296075e-1,2.0219964e-8
7,0,0,0.3,1,1800,36,0,5,5,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.047686780238466e-5,-4.612491e-4,8.933914e-1,1.1906916e-7
7,0,0,0.3,1,1840,35,0,6,7,1,25,6e-1,6e-1,9e-2,1e0,5.0875610187225444e-5,-2.1805542e-3,3.0654206e0,7.7555694e-7
7,0,0,0.3,1,1880,36,0,6,6,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.0367479108651013e-5,-4.0772642e-4,8.937151e-1,9.300549e-8
7,0,0,0.3,1,1920,35,0,7,8,1,25,6e-1,6e-1,9e-2,1e0,4.194234902924421e-5,-1.3324937e-3,3.3361819e0,2.6610354e-7
7,0,0,0.3,1,1960,14,0,0,1,0,25,4e-1,4e-1,1.4e-1,1e0,1.1841267638689503e-5,-1.8283463e-4,9.2462826e-1,1.8076726e-8
7,0,0,0.3,1,2040,35,0,8,9,1,25,6e-1,6e-1,9e-2,1e0,4.3859885716256565e-5,-1.5716816e-3,3.2729108e0,3.773679e-7
7,0,0,0.3,1,2080,29,0,0,0,0,25,2e-1,4e-1,9e-2,8.788578e-1,1.4450819629398139e-5,-1.1135152e-4,9.012802e-1,6.878638e-9
7,0,0,0.3,1,2120,36,0,7,7,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.191463118826566e-5,-7.105025e-4,9.165834e-1,2.7537797e-7
7,0,0,0.3,1,2160,35,0,9,10,1,25,6e-1,6e-1,9e-2,1e0,3.928131902186538e-5,-8.6089125e-4,3.5718772e0,1.0374569e-7
7,0,0,0.3,1,2200,36,0,8,8,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.066277842370457e-5,-4.5018722e-4,9.101739e-1,1.1133506e-7
7,0,0,0.3,1,2240,36,0,9,9,0,25,8e-1,6e-1,9e-2,8.788577e-1,3.343810827651304e-5,-8.6598e-4,9.377795e-1,3.9983885e-7
7,0,0,0.3,1,2280,35,0,10,11,1,25,6e-1,6e-1,9e-2,1e0,3.9683438075299377e-5,-9.284376e-4,3.5655882e0,1.2087717e-7
7,0,0,0.3,1,2320,35,0,11,12,1,25,6e-1,6e-1,9e-2,1e0,3.962055173312572e-5,-9.203647e-4,3.6027865e0,1.1755778e-7
7,0,0,0.3,1,2400,20,0,0,10,0,25,8e-1,6e-1,1.4e-1,8.788577e-1,3.386530063652283e-5,9.668884e-4,1.363044e0,3.4293578e-7
7,0,0,0.3,2,2440,35,0,12,13,1,25,6e-1,6e-1,9e-2,1e0,3.777700749273618e-5,-3.9354042e-4,3.776029e0,2.050753e-8
7,0,0,0.3,2,2480,29,0,1,1,1,25,2e-1,4e-1,9e-2,8.788578e-1,1.346884176082931e-5,-1.00512196e-4,9.0104413e-1,5.606108e-9
7,0,0,0.3,2,2520,36,0,10,11,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.0906534555737144e-5,-4.538643e-4,9.232445e-1,1.11559196e-7
7,0,0,0.3,2,2560,35,0,13,14,1,25,6e-1,6e-1,9e-2,1e0,4.486830157646531e-5,-1.6498945e-3,3.4765158e0,3.9150578e-7
7,0,0,0.3,2,2600,36,0,11,12,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.5148467860985315e-5,-1.0291613e-3,9.6489215e-1,5.488556e-7
7,0,0,0.3,2,2640,36,0,12,13,1,25,8e-1,6e-1,9e-2,8.788577e-1,3.049868208671229e-5,-3.2066178e-4,9.097242e-1,5.6513823e-8
7,0,0,0.3,2,2680,35,0,14,15,1,25,6e-1,6e-1,9e-2,1e0,4.383698016917087e-5,-1.5455697e-3,3.5640361e0,3.3512367e-7
