seed,rich,role,window,index,steps,x,y,target_x,target_y
7,0,train,0,0,8,3.0202097e-1,4.073947e-1,3.0953637e-1,4.1827047e-1
7,0,train,0,1,24,3.0202097e-1,4.073947e-1,3.2367495e-1,4.370743e-1
7,0,train,0,2,8,5.936183e-1,1.8908948e-1,5.891782e-1,1.9789991e-1
7,0,train,0,3,24,5.936183e-1,1.8908948e-1,5.8107626e-1,2.1619898e-1
7,0,train,0,4,8,6.674485e-1,3.372209e-1,6.6020983e-1,3.4647864e-1
7,0,train,0,5,24,6.674485e-1,3.372209e-1,6.4649385e-1,3.638182e-1
7,0,train,0,6,8,6.9242966e-1,4.7516778e-1,6.8463457e-1,4.750191e-1
7,0,train,0,7,24,6.9242966e-1,4.7516778e-1,6.694437e-1,4.7499102e-1
7,0,train,0,8,8,2.4451831e-1,6.1644316e-1,2.53703e-1,6.054373e-1
7,0,train,0,9,24,2.4451831e-1,6.1644316e-1,2.714787e-1,5.863782e-1
7,0,train,0,10,8,7.3932517e-1,4.339718e-1,7.312529e-1,4.372972e-1
7,0,train,0,11,24,7.3932517e-1,4.339718e-1,7.15263e-1,4.4315776e-1
7,0,train,0,12,8,2.9401338e-1,4.315692e-1,3.0137554e-1,4.404449e-1
7,0,train,0,13,24,2.9401338e-1,4.315692e-1,3.154e-1,4.555051e-1
7,0,train,0,14,8,4.4225228e-1,4.863959e-1,4.4372672e-1,4.887553e-1
7,0,train,0,15,24,4.4225228e-1,4.863959e-1,4.464006e-1,4.9289092e-1
7,0,train,0,16,8,2.194431e-1,4.8523653e-1,2.2776169e-1,4.8827174e-1
7,0,train,0,17,24,2.194431e-1,4.8523653e-1,2.4419576e-1,4.9338108e-1
7,0,train,0,18,8,8.008988e-1,8.367002e-1,7.9420835e-1,8.32541e-1
7,0,train,0,19,24,8.008988e-1,8.367002e-1,7.7889425e-1,8.227631e-1
7,0,train,0,20,8,6.492866e-1,6.9288063e-1,6.3711077e-1,6.813627e-1
7,0,train,0,21,24,6.492866e-1,6.9288063e-1,6.146285e-1,6.594182e-1
7,0,train,0,22,8,6.754954e-1,1.6185975e-1,6.6783017e-1,1.6929674e-1
7,0,train,0,23,24,6.754954e-1,1.6185975e-1,6.527969e-1,1.8524915e-1
7,0,train,0,24,8,5.959381e-1,2.8959525e-1,5.9137493e-1,2.994872e-1
7,0,train,0,25,24,5.959381e-1,2.8959525e-1,5.8304894e-1,3.1887782e-1
7,0,train,0,26,8,1.9928022e-1,3.676044e-1,2.0693654e-1,3.816888e-1
7,0,train,0,27,24,1.9928022e-1,3.676044e-1,2.22801e-1,4.0741926e-1
7,0,train,0,28,8,4.3480605e-1,6.954787e-1,4.382059e-1,6.85196e-1
7,0,train,0,29,24,4.3480605e-1,6.954787e-1,4.4370356e-1,6.655195e-1
7,0,train,0,30,8,2.4858755e-1,6.0844314e-1,2.5765902e-1,5.9810716e-1
7,0,train,0,31,24,2.4858755e-1,6.0844314e-1,2.751512e-1,5.803854e-1
7,0,train,1,0,8,7.148092e-1,5.3745246e-1,7.05913e-1,5.3133225e-1
7,0,train,1,1,24,7.148092e-1,5.3745246e-1,6.8861496e-1,5.210979e-1
7,0,train,1,2,8,5.2134615e-1,7.2549987e-1,5.169471e-1,7.1553546e-1
7,0,train,1,3,24,5.2134615e-1,7.2549987e-1,5.093493e-1,6.958576e-1
7,0,train,1,4,8,4.1805115e-1,7.6047766e-1,4.239014e-1,7.4969256e-1
7,0,train,1,5,24,4.1805115e-1,7.6047766e-1,4.3369034e-1,7.281188e-1
7,0,train,1,6,8,5.271059e-1,4.7844818e-1,5.2466434e-1,4.8026648e-1
7,0,train,1,7,24,5.271059e-1,4.7844818e-1,5.20033e-1,4.8363644e-1
7,0,train,1,8,8,8.08231e-1,6.584691e-1,8.000917e-1,6.4472365e-1
7,0,train,1,9,24,8.08231e-1,6.584691e-1,7.826448e-1,6.179558e-1
7,0,train,1,10,8,1.7044465e-1,6.2050945e-1,1.7889181e-1,6.08987e-1
7,0,train,1,11,24,1.7044465e-1,6.2050945e-1,1.9633724e-1,5.883962e-1
7,0,train,1,12,8,5.994941e-1,5.3045166e-1,5.931355e-1,5.272993e-1
7,0,train,1,13,24,5.994941e-1,5.3045166e-1,5.813046e-1,5.220395e-1
7,0,train,1,14,8,5.7197046e-1,6.409631e-1,5.644171e-1,6.3219905e-1
7,0,train,1,15,24,5.7197046e-1,6.409631e-1,5.511289e-1,6.16094e-1
7,0,train,1,16,8,7.888137e-1,7.403648e-1,7.798993e-1,7.286837e-1
7,0,train,1,17,24,7.888137e-1,7.403648e-1,7.601845e-1,7.03483e-1
7,0,train,1,18,8,4.1343737e-1,7.475575e-1,4.1948733e-1,7.36585e-1
7,0,train,1,19,24,4.1343737e-1,7.475575e-1,4.2961016e-1,7.148481e-1
7,0,train,1,20,8,3.514967e-1,5.0221086e-1,3.568127e-1,5.0362235e-1
7,0,train,1,21,24,3.514967e-1,5.0221086e-1,3.668452e-1,5.060417e-1
7,0,train,1,22,8,1.9172439e-1,7.821429e-1,1.9922763e-1,7.713586e-1
7,0,train,1,23,24,1.9172439e-1,7.821429e-1,2.1601626e-1,7.4736595e-1
7,0,train,1,24,8,7.257638e-1,2.7616686e-1,7.174543e-1,2.8667936e-1
7,0,train,1,25,24,7.257638e-1,2.7616686e-1,7.009759e-1,3.0759394e-1
7,0,train,1,26,8,6.143609e-1,3.0330646e-1,6.088809e-1,3.1309e-1
7,0,train,1,27,24,6.143609e-1,3.0330646e-1,5.988093e-1,3.320412e-1
7,0,train,1,28,8,7.370498e-1,4.0862003e-1,7.290307e-1,4.1407642e-1
7,0,train,1,29,24,7.370498e-1,4.0862003e-1,7.1317065e-1,4.2373168e-1
7,0,train,1,30,8,1.6094552e-1,5.0197995e-1,1.694725e-1,5.02661e-1
7,0,train,1,31,24,1.6094552e-1,5.0197995e-1,1.8659914e-1,5.039051e-1
7,0,train,2,0,8,5.2611876e-1,3.1310838e-1,5.2587426e-1,3.22913e-1
7,0,train,2,1,24,5.2611876e-1,3.1310838e-1,5.2514255e-1,3.419282e-1
7,0,train,2,2,8,4.4319668e-1,5.822872e-1,4.4447145e-1,5.7731086e-1
7,0,train,2,3,24,4.4319668e-1,5.822872e-1,4.467106e-1,5.6838685e-1
7,0,train,2,4,8,4.3887895e-1,5.240931e-1,4.402663e-1,5.234734e-1
7,0,train,2,5,24,4.3887895e-1,5.240931e-1,4.4283873e-1,5.2236575e-1
7,0,train,2,6,8,1.646483e-1,2.2179216e-1,1.6855049e-1,2.3240022e-1
7,0,train,2,7,24,1.646483e-1,2.2179216e-1,1.7776617e-1,2.5629982e-1
7,0,train,2,8,8,6.987028e-1,1.9769064e-1,6.9051856e-1,2.0638154e-1
7,0,train,2,9,24,6.987028e-1,1.9769064e-1,6.742795e-1,2.2476813e-1
7,0,train,2,10,8,5.42342e-1,2.2854406e-1,5.4145527e-1,2.382838e-1
7,0,train,2,11,24,5.42342e-1,2.2854406e-1,5.397663e-1,2.5812426e-1
7,0,train,2,12,8,3.6753613e-1,7.8307736e-1,3.7719932e-1,7.7217406e-1
7,0,train,2,13,24,3.6753613e-1,7.8307736e-1,3.9447966e-1,7.4985534e-1
7,0,train,2,14,8,6.756449e-1,6.409715e-1,6.644283e-1,6.295119e-1
7,0,train,2,15,24,6.756449e-1,6.409715e-1,6.433865e-1,6.087459e-1
7,0,train,2,16,8,2.4548563e-1,4.447946e-1,2.5346816e-1,4.5257705e-1
7,0,train,2,17,24,2.4548563e-1,4.447946e-1,2.6912665e-1,4.6565863e-1
7,0,train,2,18,8,3.216293e-1,7.600093e-1,3.3270082e-1,7.4789035e-1
7,0,train,2,19,24,3.216293e-1,7.600093e-1,3.5342464e-1,7.2326964e-1
7,0,train,2,20,8,1.8035159e-1,6.14278e-1,1.8901101e-1,6.031437e-1
7,0,train,2,21,24,1.8035159e-1,6.14278e-1,2.0668945e-1,5.834899e-1
7,0,train,2,22,8,7.1989167e-1,1.688638e-1,7.119906e-1,1.7614996e-1
7,0,train,2,23,24,7.1989167e-1,1.688638e-1,6.958539e-1,1.9195639e-1
7,0,train,2,24,8,5.45328e-1,5.952093e-1,5.401737e-1,5.890143e-1
7,0,train,2,25,24,5.45328e-1,5.952093e-1,5.310131e-1,5.778759e-1
7,0,train,2,26,8,3.486578e-1,7.8718793e-1,3.592182e-1,7.7627295e-1
7,0,train,2,27,24,3.486578e-1,7.8718793e-1,3.7860098e-1,7.5371075e-1
7,0,train,2,28,8,7.5647247e-1,8.1619143e-1,7.460448e-1,8.095928e-1
7,0,train,2,29,24,7.5647247e-1,8.1619143e-1,7.229908e-1,7.944284e-1
7,0,train,2,30,8,4.5670986e-1,7.244202e-1,4.585726e-1,7.1407e-1
7,0,train,2,31,24,4.5670986e-1,7.244202e-1,4.6143773e-1,6.9376457e-1
7,0,eval,-1,0,24,4.571319e-1,6.6966915e-1,4.6003282e-1,6.4280444e-1
7,0,eval,-1,1,24,7.7727103e-1,4.8983333e-1,7.521014e-1,4.8388308e-1
7,0,eval,-1,2,24,4.8228046e-1,7.550665e-1,4.8104656e-1,7.2460043e-1
7,0,eval,-1,3,24,1.7369469e-1,4.7421095e-1,1.9895062e-1,4.8526272e-1
7,0,eval,-1,4,24,4.0317786e-1,1.6185012e-1,4.2943114e-1,1.874159e-1
7,0,eval,-1,5,24,6.6783583e-1,1.7847659e-1,6.45368e-1,2.0392066e-1
7,0,eval,-1,6,24,4.4596606e-1,6.1949414e-1,4.4975555e-1,5.9901005e-1
7,0,eval,-1,7,24,2.6098272e-1,6.219057e-1,2.8773728e-1,5.913327e-1
7,0,eval,-1,8,24,3.941443e-1,6.254181e-1,4.0747863e-1,6.0189736e-1
7,0,eval,-1,9,24,5.756874e-1,6.242552e-1,5.5510324e-1,6.012466e-1
7,0,eval,-1,10,24,6.5916085e-1,3.971176e-1,6.394361e-1,4.145685e-1
7,0,eval,-1,11,24,2.8643984e-1,3.4226263e-1,3.1172085e-1,3.8421652e-1
7,0,eval,-1,12,24,3.293035e-1,1.5644474e-1,3.6147863e-1,1.8001227e-1
7,0,eval,-1,13,24,3.1362718e-1,4.1271183e-1,3.343302e-1,4.4070768e-1
7,0,eval,-1,14,24,4.4638538e-1,4.0295297e-1,4.5364794e-1,4.255732e-1
7,0,eval,-1,15,24,4.468472e-1,2.9796815e-1,4.6078715e-1,3.3107895e-1
7,0,eval,-1,16,24,5.2651775e-1,4.2353535e-1,5.216878e-1,4.3888083e-1
7,0,eval,-1,17,24,1.8350269e-1,2.8417927e-1,2.033396e-1,3.2930037e-1
7,0,eval,-1,18,24,1.8589899e-1,5.152457e-1,2.1169588e-1,5.131813e-1
7,0,eval,-1,19,24,2.0207092e-1,1.8781471e-1,2.2066124e-1,2.154704e-1
7,0,eval,-1,20,24,8.1093633e-1,2.0669857e-1,7.923279e-1,2.3198347e-1
7,0,eval,-1,21,24,2.2642678e-1,5.780572e-1,2.5259092e-1,5.5724245e-1
7,0,eval,-1,22,24,3.6261928e-1,7.0814097e-1,3.8633904e-1,6.733004e-1
7,0,eval,-1,23,24,5.560379e-1,5.680872e-1,5.4127145e-1,5.5487126e-1
7,0,eval,-1,24,24,6.2944174e-1,3.559004e-1,6.1244714e-1,3.7976855e-1
7,0,eval,-1,25,24,3.9697915e-1,4.2074248e-1,4.0943706e-1,4.429586e-1
7,0,eval,-1,26,24,4.778467e-1,5.476815e-1,4.7567928e-1,5.4060906e-1
7,0,eval,-1,27,24,5.1643896e-1,3.8532674e-1,5.1454324e-1,4.0704307e-1
7,0,eval,-1,28,24,1.99362e-1,4.317805e-1,2.2384597e-1,4.5621964e-1
7,0,eval,-1,29,24,2.5008574e-1,2.9771477e-1,2.7642348e-1,3.437341e-1
7,0,eval,-1,30,24,3.1036353e-1,7.9766595e-1,3.4407714e-1,7.6453805e-1
7,0,eval,-1,31,24,4.5686805e-1,5.849734e-1,4.5806432e-1,5.707261e-1
7,0,eval,-1,32,24,3.07554e-1,4.5726347e-1,3.2745424e-1,4.739227e-1
7,0,eval,-1,33,24,3.3268535e-1,3.965209e-1,3.5277662e-1,4.2713487e-1
7,0,eval,-1,34,24,6.252866e-1,7.779093e-1,5.899332e-1,7.483642e-1
7,0,eval,-1,35,24,6.9148254e-1,2.1503845e-1,6.67227e-1,2.4377891e-1
7,0,eval,-1,36,24,3.296159e-1,2.9734588e-1,3.5672748e-1,3.3910692e-1
7,0,eval,-1,37,24,3.5139877e-1,2.860337e-1,3.7814257e-1,3.2610947e-1
7,0,eval,-1,38,24,4.3863744e-1,2.5289592e-1,4.5655638e-1,2.862892e-1
7,0,eval,-1,39,24,1.870503e-1,5.806141e-1,2.134617e-1,5.5844396e-1
7,0,eval,-1,40,24,2.588924e-1,5.4978776e-1,2.8305745e-1,5.381251e-1
7,0,eval,-1,41,24,4.068054e-1,5.343192e-1,4.1534716e-1,5.302879e-1
7,0,eval,-1,42,24,5.377839e-1,6.768215e-1,5.223531e-1,6.4966244e-1
7,0,eval,-1,43,24,8.447616e-1,2.3709607e-1,8.287516e-1,2.6428565e-1
7,0,eval,-1,44,24,2.6749405e-1,5.843686e-1,2.92341e-1,5.6314325e-1
7,0,eval,-1,45,24,8.4525084e-1,4.0399262e-1,8.226975e-1,4.1913465e-1
7,0,eval,-1,46,24,8.014188e-1,2.469643e-1,7.8025836e-1,2.7684844e-1
7,0,eval,-1,47,24,5.5644685e-1,5.353698e-1,5.431566e-1,5.282023e-1
7,0,eval,-1,48,24,4.5444825e-1,3.197363e-1,4.6577471e-1,3.513966e-1
7,0,eval,-1,49,24,2.8198594e-1,2.247256e-1,3.1250426e-1,2.6255345e-1
7,0,eval,-1,50,24,4.779584e-1,5.2089727e-1,4.7626078e-1,5.1924783e-1
7,0,eval,-1,51,24,4.4164646e-1,7.902328e-1,4.5230922e-1,7.5963414e-1
7,0,eval,-1,52,24,2.3654296e-1,4.5650235e-1,2.60512e-1,4.738459e-1
7,0,eval,-1,53,24,7.096485e-1,5.5484307e-1,6.8266803e-1,5.3472686e-1
7,0,eval,-1,54,24,7.93522e-1,5.105532e-1,7.682672e-1,4.9872303e-1
7,0,eval,-1,55,24,4.3228272e-1,8.3574975e-1,4.4619632e-1,8.0813915e-1
7,0,eval,-1,56,24,5.310887e-1,7.782084e-1,5.1672554e-1,7.4880135e-1
7,0,eval,-1,57,24,1.95684e-1,2.5623912e-1,2.1608043e-1,2.9906696e-1
7,0,eval,-1,58,24,3.423369e-1,3.007726e-1,3.6853582e-1,3.415462e-1
7,0,eval,-1,59,24,1.5345374e-1,5.3381693e-1,1.7930153e-1,5.255192e-1
7,0,eval,-1,60,24,8.346578e-1,2.5105813e-1,8.1674445e-1,2.7991265e-1
7,0,eval,-1,61,24,4.96182e-1,8.316027e-1,4.924447e-1,8.045109e-1
7,0,eval,-1,62,24,2.3139264e-1,4.797971e-1,2.556922e-1,4.8981094e-1
7,0,eval,-1,63,24,4.573438e-1,6.6400254e-1,4.6003324e-1,6.377499e-1
7,1,train,0,0,8,3.0202097e-1,4.073947e-1,2.8414425e-1,4.2174202e-1
7,1,train,0,1,24,3.0202097e-1,4.073947e-1,2.5836727e-1,4.511556e-1
7,1,train,0,2,8,5.936183e-1,1.8908948e-1,5.8985746e-1,1.971426e-1
7,1,train,0,3,24,5.936183e-1,1.8908948e-1,5.83635e-1,2.1321344e-1
7,1,train,0,4,8,6.674485e-1,3.372209e-1,6.612192e-1,3.4780064e-1
7,1,train,0,5,24,6.674485e-1,3.372209e-1,6.501983e-1,3.6970067e-1
