seed,rich,fresh,omega,adaptive,window,step,source_residual_sse_0,source_residual_sse_1,source_residual_sse_2,source_residual_sse_3,source_residual_sse_4,source_residual_sse_5,source_residual_sse_6,source_residual_sse_7,source_residual_sse_8,source_residual_sse_9,source_residual_sse_10,source_residual_sse_11,source_residual_sse_12,source_residual_sse_13,source_residual_sse_14,source_residual_sse_15,source_residual_sse_16,source_count_0,source_count_1,source_count_2,source_count_3,source_count_4,source_count_5,source_count_6,source_count_7,source_count_8,source_count_9,source_count_10,source_count_11,source_count_12,source_count_13,source_count_14,source_count_15,source_count_16,path_visits_0,path_visits_1,path_visits_2,path_visits_3,path_visits_4,path_visits_5,path_visits_6,path_visits_7,path_visits_8,path_visits_9,path_visits_10,path_visits_11,path_visits_12,path_visits_13,path_visits_14,path_visits_15,path_visits_16
7,0,0,0.0,0,0,120,0e0,0e0,5.126843362290856e-6,1.4653207017545355e-5,9.454338652403749e-6,1.030999868589788e-6,4.0307040904963287e-7,1.1624788669450936e-5,4.4959397200727835e-6,0e0,0e0,0e0,0e0,6.419874921448354e-6,6.502114842987794e-6,7.4120133035648905e-6,0e0,0,0,4,2,8,2,2,4,4,0,0,0,0,2,2,2,0,0,0,68,0,68,102,136,0,14,88,34,0,0,0,0,34,0
7,0,0,0.0,0,0,240,0e0,0e0,2.4269647624919344e-8,7.14376433563757e-8,4.578874013283496e-8,5.475291331435983e-9,1.6342456277129713e-9,5.4529072812670165e-8,2.1351557855098235e-8,0e0,0e0,0e0,0e0,2.9563096859419602e-8,3.3331037485595516e-8,3.693480365996038e-8,0e0,0,0,4,2,8,2,2,4,4,0,0,0,0,2,2,2,0,0,0,68,0,68,102,136,0,14,88,34,0,0,0,0,34,0
7,0,0,0.0,0,0,360,0e0,0e0,6.898703830415798e-12,1.54145585185006e-11,1.0340839295963633e-11,2.0392576516314875e-12,1.8207657603852567e-13,1.7826629061801214e-11,5.860201213181426e-12,0e0,0e0,0e0,0e0,7.323031070427533e-12,1.0263789818054647e-11,9.443112958251731e-12,0e0,0,0,4,2,8,2,2,4,4,0,0,0,0,2,2,2,0,0,0,68,0,68,102,136,0,14,88,34,0,0,0,0,34,0
7,0,0,0.0,0,0,480,0e0,0e0,3.5083047578154947e-14,1.0036416142611415e-13,6.106226635438361e-13,1.865174681370263e-14,5.773159728050814e-14,3.2862601528904634e-13,1.1901590823981678e-13,0e0,0e0,0e0,0e0,2.930988785010413e-14,2.1316282072803006e-14,1.3500311979441904e-13,0e0,0,0,4,2,8,2,2,4,4,0,0,0,0,2,2,2,0,0,0,68,0,68,102,136,0,14,88,34,0,0,0,0,34,0
7,0,0,0.0,0,0,600,0e0,0e0,1.0436096431476471e-13,1.0347278589506459e-13,6.588063428125679e-13,1.5987211554602254e-14,8.260059303211165e-14,3.241851231905457e-13,1.412203687323199e-13,0e0,0e0,0e0,0e0,7.105427357601002e-15,2.842170943040401e-14,1.3500311979441904e-13,0e0,0,0,4,2,8,2,2,4,4,0,0,0,0,2,2,2,0,0,0,68,0,68,102,136,0,14,88,34,0,0,0,0,34,0
7,0,0,0.0,0,0,720,0e0,0e0,6.17284001691587e-14,1.0347278589506459e-13,6.348255254806645e-13,1.5987211554602254e-14,8.260059303211165e-14,2.566835632933362e-13,1.1901590823981678e-13,0e0,0e0,0e0,0e0,2.842170943040401e-14,2.842170943040401e-14,1.3500311979441904e-13,0e0,0,0,4,2,8,2,2,4,4,0,0,0,0,2,2,2,0,0,0,68,0,68,102,136,0,14,88,34,0,0,0,0,34,0
7,0,0,0.0,0,0,840,0e0,0e0,3.3306690738754696e-14,1.0347278589506459e-13,6.727951529228449e-13,1.1546319456101628e-14,5.773159728050814e-14,2.566835632933362e-13,1.2967404927621828e-13,0e0,0e0,0e0,0e0,3.197442310920451e-14,2.842170943040401e-14,1.3500311979441904e-13,0e0,0,0,4,2,8,2,2,4,4,0,0,0,0,2,2,2,0,0,0,68,0,68,102,136,0,14,88,34,0,0,0,0,34,0
7,0,0,0.0,0,0,960,0e0,0e0,5.3734794391857577e-14,1.425526363618701e-13,9.907630271754897e-13,5.861977570020827e-14,5.773159728050814e-14,3.9523939676655573e-13,1.305622276959184e-13,0e0,0e0,0e0,0e0,1.1546319456101628e-14,2.842170943040401e-14,1.3500311979441904e-13,0e0,0,0,4,2,8,2,2,4,4,0,0,0,0,2,2,2,0,0,0,68,0,68,102,136,0,14,88,34,0,0,0,0,34,0
7,0,0,0.0,0,0,1080,0e0,0e0,1.1124434706744069e-13,1.3433698597964394e-13,1.2305712004945235e-12,8.704148513061227e-14,3.907985046680551e-14,3.241851231905457e-13,9.681144774731365e-14,0e0,0e0,0e0,0e0,1.509903313490213e-14,4.263256414560601e-14,2.0250467969162855e-13,0e0,0,0,4,2,8,2,2,4,4,0,0,0,0,2,2,2,0,0,0,68,0,68,102,136,0,14,88,34,0,0,0,0,34,0
7,0,0,0.0,0,0,1200,0e0,0e0,1.7452927991712386e-11,6.534550678338746e-12,5.806044534040211e-11,1.319389042464536e-11,5.7482907322992105e-12,5.937472735695337e-12,2.034816759532987e-11,0e0,0e0,0e0,0e0,2.6973978606292803e-12,5.471179065352771e-13,9.912071163853398e-13,0e0,0,0,4,2,8,2,2,4,4,0,0,0,0,2,2,2,0,0,0,68,0,68,102,136,0,14,88,34,0,0,0,0,34,0
