seed,rich,fresh,omega,adaptive,window,k_before,k_after,incoming_rms,train_after,eval_before,eval_after,requests,denied,repeated_cross_window
7,0,0,0.0,0,0,9,9,2.4864633260763363e-2,1.9400119787789182e-5,3.3411829223506447e-2,2.4947576016033903e-5,0,0,0
7,0,0,0.0,0,1,9,9,1.9400119787789182e-5,1.0399366559013895e-6,2.4947576016033903e-5,1.2111448150180606e-6,0,0,0
7,0,0,0.0,0,2,9,9,1.0399366559013895e-6,1.5706172758246095e-4,1.2111448150180606e-6,1.982564815796869e-4,0,0,0
7,0,0,0.0,1,0,9,11,2.4864633260763363e-2,1.3337369159307614e-3,3.3411829223506447e-2,2.4047766278092525e-3,2,0,0
7,0,0,0.0,1,1,11,13,1.3337369159307614e-3,8.343221356022447e-5,2.4047766278092525e-3,1.414578513201344e-4,2,0,0
7,0,0,0.0,1,2,13,18,8.343221356022447e-5,2.09149447456367e-3,1.414578513201344e-4,2.4877314587282325e-3,5,0,0
7,0,0,0.3,0,0,9,9,3.848251325020754e-2,2.121174189705585e-2,5.0168926821327495e-2,4.407667489543542e-2,0,0,0
7,0,0,0.3,0,1,9,9,2.121174189705585e-2,2.1211732919312706e-2,4.407667489543542e-2,4.40766479106011e-2,0,0,0
7,0,0,0.3,0,2,9,9,2.1211732919312706e-2,2.1211762539786353e-2,4.40766479106011e-2,4.408122794973826e-2,0,0,0
7,0,0,0.3,1,0,9,25,3.848251325020754e-2,4.270554241054861e-3,5.0168926821327495e-2,6.666282769040856e-2,20,4,0
7,0,0,0.3,1,1,25,25,4.270554241054861e-3,4.263893870008062e-3,6.666282769040856e-2,6.723576641764985e-2,28,28,14
7,0,0,0.3,1,2,25,25,4.263893870008062e-3,4.096657297388545e-3,6.723576641764985e-2,6.772427051504604e-2,30,30,29
7,0,1,0.0,0,0,9,9,2.4864633260763363e-2,1.9400119787789182e-5,3.3411829223506447e-2,2.4947576016033903e-5,0,0,0
7,0,1,0.0,0,1,9,9,1.4908262698928125e-5,6.102151162219967e-6,2.4947576016033903e-5,7.974390252986683e-6,0,0,0
7,0,1,0.0,0,2,9,9,6.094527678850112e-6,1.0655855429379898e-5,7.974390252986683e-6,1.3276043774904116e-5,0,0,0
7,0,1,0.0,1,0,9,11,2.4864633260763363e-2,1.3337369159307614e-3,3.3411829223506447e-2,2.4047766278092525e-3,2,0,0
7,0,1,0.0,1,1,11,11,3.985176030746876e-4,3.650689458339974e-7,2.4047766278092525e-3,1.2862451538181951e-6,0,0,0
7,0,1,0.0,1,2,11,18,6.828976361752888e-7,1.3927928324937002e-6,1.2862451538181951e-6,8.267587335077592e-6,7,0,0
7,0,1,0.3,0,0,9,9,3.848251325020754e-2,2.121174189705585e-2,5.0168926821327495e-2,4.407667489543542e-2,0,0,0
7,0,1,0.3,0,1,9,9,2.659078708047158e-2,2.1098317924673975e-2,4.407667489543542e-2,5.43640549636019e-2,0,0,0
7,0,1,0.3,0,2,9,9,3.054817873432822e-2,2.2256874225473164e-2,5.43640549636019e-2,5.017960652936338e-2,0,0,0
7,0,1,0.3,1,0,9,25,3.848251325020754e-2,4.270554241054861e-3,5.0168926821327495e-2,6.666282769040856e-2,20,4,0
7,0,1,0.3,1,1,25,25,5.650959106344746e-2,7.153423144787626e-3,6.666282769040856e-2,9.907419301308035e-2,30,30,24
7,0,1,0.3,1,2,25,25,7.681188753080638e-2,1.5015331496198336e-2,9.907419301308035e-2,9.955947009265055e-2,30,30,1
7,1,0,0.0,0,0,9,9,4.159029642307769e-2,2.7693609491378945e-2,5.230819401543326e-2,4.454195153246172e-2,0,0,0
7,1,0,0.0,0,1,9,9,2.7693609491378945e-2,2.769360643658475e-2,4.454195153246172e-2,4.454194003481709e-2,0,0,0
7,1,0,0.0,0,2,9,9,2.769360643658475e-2,2.7693596886725878e-2,4.454194003481709e-2,4.4541879836947164e-2,0,0,0
7,1,0,0.0,1,0,9,14,4.159029642307769e-2,2.9190615068262354e-6,5.230819401543326e-2,7.304735507861767e-6,5,0,0
7,1,0,0.0,1,1,14,18,2.9190615068262354e-6,3.3508473718600474e-6,7.304735507861767e-6,1.086220072401067e-5,4,0,0
7,1,0,0.0,1,2,18,24,3.3508473718600474e-6,1.5633087416320274e-5,1.086220072401067e-5,1.1934873944836942e-4,6,0,0
7,1,0,0.3,0,0,9,9,5.294753285356221e-2,3.9128955942449826e-2,6.694828185381835e-2,6.329384772550564e-2,0,0,0
7,1,0,0.3,0,1,9,9,3.9128955942449826e-2,3.912895576860195e-2,6.329384772550564e-2,6.329383936622428e-2,0,0,0
7,1,0,0.3,0,2,9,9,3.912895576860195e-2,3.912896661808716e-2,6.329383936622428e-2,6.329386142252756e-2,0,0,0
7,1,0,0.3,1,0,9,25,5.294753285356221e-2,5.7709137632840826e-3,6.694828185381835e-2,6.494267484086276e-2,18,2,0
7,1,0,0.3,1,1,25,25,5.7709137632840826e-3,5.636643080523567e-3,6.494267484086276e-2,6.627595696764088e-2,5,5,0
7,1,0,0.3,1,2,25,25,5.636643080523567e-3,5.647515400720224e-3,6.627595696764088e-2,6.62658780637505e-2,17,17,10
7,1,1,0.0,0,0,9,9,4.159029642307769e-2,2.7693609491378945e-2,5.230819401543326e-2,4.454195153246172e-2,0,0,0
7,1,1,0.0,0,1,9,9,2.8953906800474178e-2,2.4197098638623734e-2,4.454195153246172e-2,4.9334666314202226e-2,0,0,0
7,1,1,0.0,0,2,9,9,2.836723364403688e-2,2.2840385228740802e-2,4.9334666314202226e-2,4.302799868269556e-2,0,0,0
7,1,1,0.0,1,0,9,14,4.159029642307769e-2,2.9190615068262354e-6,5.230819401543326e-2,7.304735507861767e-6,5,0,0
7,1,1,0.0,1,1,14,18,4.792638452855395e-6,4.319164452320039e-6,7.304735507861767e-6,2.8547036283642076e-5,4,0,0
7,1,1,0.0,1,2,18,25,1.4859159421023574e-5,9.60009116901796e-6,2.8547036283642076e-5,1.1193880549501213e-4,8,1,0
7,1,1,0.3,0,0,9,9,5.294753285356221e-2,3.9128955942449826e-2,6.694828185381835e-2,6.329384772550564e-2,0,0,0
7,1,1,0.3,0,1,9,9,4.0044338895610224e-2,3.2385644603141146e-2,6.329384772550564e-2,7.388323601658685e-2,0,0,0
7,1,1,0.3,0,2,9,9,3.9099188293623605e-2,3.064791284098054e-2,7.388323601658685e-2,7.810896092067345e-2,0,0,0
7,1,1,0.3,1,0,9,25,5.294753285356221e-2,5.7709137632840826e-3,6.694828185381835e-2,6.494267484086276e-2,18,2,0
7,1,1,0.3,1,1,25,25,4.607688162953518e-2,8.346627539946328e-3,6.494267484086276e-2,1.3245124578822498e-1,30,30,28
